A.Parc.;Parc;n;DAP ;Ht;Hdom
720;711;1;19,74;14,65;
720;711;2;;;
720;711;3;19,19;14,44;
720;711;4;17,83;13,89;
720;711;5;18,46;14,15;
720;711;6;20,05;14,78;
720;711;7;17,03;13,56;
720;711;8;19,42;14,53;
720;711;9;;;
720;711;10;16,23;13,22;
720;711;11;;;
720;711;12;18,14;14,02;
720;711;13;16,23;13,22;
720;711;14;;;
720;711;15;18,14;14,02;
720;711;16;;;
720;711;17;19,03;14,38;
720;711;18;18,14;14,02;
720;711;19;19,26;14,47;
720;711;20;;;
720;711;21;17,51;13,76;
720;711;22;18,94;14,34;
720;711;23;;;
720;711;24;17,83;13,89;
720;711;25;17,83;13,89;
720;711;26;;;
720;711;27;19,42;14,53;
720;711;28;18,46;14,15;
720;711;29;;;
720;711;30;17,06;13,57;
720;711;31;;;
720;711;32;18,78;14,28;
720;711;33;19,10;14,40;
720;711;34;19,19;14,44;
720;711;35;;;
720;711;36;18,40;14,12;
720;711;37;18,62;14,21;
720;711;38;19,03;14,38;
720;711;39;17,92;13,93;
720;711;40;;;
720;711;41;18,59;14,20;
720;711;42;18,46;14,15;
720;711;43;;;
720;711;44;18,30;14,08;
720;711;45;18,08;13,99;
720;711;46;18,62;14,21;
720;711;47;17,25;13,65;
720;711;48;;;
720;711;49;18,46;14,15;
720;711;50;17,67;13,82;
720;711;51;17,48;13,74;
720;711;52;;;
720;711;53;18,21;14,04;
720;711;54;;;
720;711;55;18,91;14,33;
720;711;56;;;
720;711;57;19,26;14,47;
720;711;58;19,74;14,65;
720;711;59;;;
720;711;60;19,10;14,40;
720;621;1;;;
720;621;2;19,26;14,47;
720;621;3;19,42;14,53;
720;621;4;;;
720;621;5;19,26;14,47;
720;621;6;;;
720;621;7;19,19;14,44;
720;621;8;19,35;14,50;
720;621;9;;;
720;621;10;19,32;14,49;
720;621;11;19,16;14,43;
720;621;12;18,27;14,07;
720;621;13;;;
720;621;14;19,26;14,47;
720;621;15;19,10;14,40;
720;621;16;19,45;14,54;
720;621;17;;;
720;621;18;16,71;13,42;
720;621;19;18,56;14,19;
720;621;20;20,05;14,78;
720;621;21;18,14;14,02;
720;621;22;;;
720;621;23;16,55;13,35;
720;621;24;18,62;14,21;
720;621;25;17,95;13,94;
720;621;26;17,98;13,95;
720;621;27;;;
720;621;28;18,46;14,15;
720;621;29;;;
720;621;30;18,68;14,24;
720;621;31;;;
720;621;32;18,30;14,08;
720;621;33;18,14;14,02;
720;621;34;18,94;14,34;
720;621;35;18,46;14,15;
720;621;36;;;
720;621;37;16,71;13,42;
720;621;38;17,67;13,82;
720;621;39;18,37;14,11;
720;621;40;;;
720;621;41;20,37;14,90;
720;621;42;;;
720;621;43;19,32;14,49;
720;621;44;;;
720;621;45;18,94;14,34;
720;621;46;19,26;14,47;
720;621;47;;;
720;621;48;18,30;14,08;
720;621;49;17,83;13,89;
720;621;50;;;
720;621;51;18,78;14,28;
720;621;52;;;
720;621;53;17,73;13,85;
720;621;54;;;
720;621;55;19,10;14,40;
720;621;56;;;
720;621;57;19,23;14,45;
720;621;58;18,78;14,28;
720;621;59;19,58;14,59;
720;621;60;;;
720;622;1;17,51;13,76;
720;622;2;;;
720;622;3;15,28;12,80;
720;622;4;12,41;11,47;
720;622;5;;;
720;622;6;;;
720;622;7;13,37;11,93;
720;622;8;;;
720;622;9;16,39;13,29;
720;622;10;17,51;13,76;
720;622;11;15,92;13,08;
720;622;12;;;
720;622;13;15,28;12,80;
720;622;14;;;
720;622;15;;;
720;622;16;13,69;12,08;
720;622;17;;;
720;622;18;15,60;12,94;
720;622;19;16,71;13,42;
720;622;20;;;
720;622;21;17,70;13,84;
720;622;22;;;
720;622;23;13,91;12,18;
720;622;24;;;
720;622;25;15,41;12,86;
720;622;26;;;
720;622;27;;;
720;622;28;12,57;11,55;
720;622;29;14,64;12,52;
720;622;30;;;
720;622;31;15,41;12,86;
720;622;32;13,37;11,93;
720;622;33;;;
720;622;34;13,69;12,08;
720;622;35;;;
720;622;36;;;
720;622;37;16,87;13,49;
720;622;38;;;
720;622;39;15,28;12,80;
720;622;40;;;
720;622;41;;;
720;622;42;14,51;12,46;
720;622;43;16,23;13,22;
720;622;44;;;
720;622;45;14,83;12,60;
720;622;46;;;
720;622;47;;;
720;622;48;14,32;12,37;
720;622;49;15,22;12,77;
720;622;50;15,47;12,89;
720;622;51;;;
720;622;52;15,98;13,11;
720;622;53;;;
720;622;54;14,96;12,66;
720;622;55;;;
720;622;56;;;
720;622;57;12,89;11,70;
720;622;58;16,14;13,18;
